y_win,p_ioc,p_hand,o_ioc,o_hand,p_ht,p_age,p_rank,o_ht,o_age,o_rank,p_set_1,o_set_1,p_ace,p_df,p_svpt,p_1stWon,p_2ndWon,p_bpFaced,o_ace,o_df,o_svpt,o_1stWon,o_2ndWon,o_bpFaced
W,USA,R,SWE,R,168,26,49,174,27,50,7,5,0,1,33,15,3,5,0,1,31,10,5,4
W,GER,R,SRB,R,168,28,97,177,31,22,3,6,0,0,32,15,5,4,1,1,31,13,6,1
W,GER,R,SUI,R,170,22,55,170,27,14,6,2,1,1,28,14,4,1,1,1,28,9,5,5
W,BLR,R,MNE,R,180,26,16,170,21,54,6,1,1,2,18,12,3,0,2,2,28,8,5,5
W,JPN,R,UKR,R,180,18,127,174,21,21,6,4,1,1,41,15,9,6,0,0,29,9,8,2
W,CZE,R,USA,R,164,30,48,165,27,349,7,6,2,1,37,17,3,4,1,3,36,15,3,6
W,ESP,R,BEL,R,182,22,3,165,30,80,6,4,2,0,31,12,7,2,1,1,27,7,7,6
W,GBR,R,CHN,R,180,25,47,170,22,83,6,2,1,2,28,12,7,2,0,1,23,8,4,4
W,CZE,R,GER,R,180,23,66,178,26,32,6,3,1,2,32,13,5,2,2,2,33,12,6,5
W,RUS,L,GER,R,178,28,24,173,28,73,6,4,2,0,34,16,7,3,2,2,27,11,4,2
W,CZE,R,GER,R,184,24,12,180,27,45,7,6,7,1,35,15,9,2,2,3,36,15,5,4
W,USA,R,KAZ,R,178,21,17,180,28,70,6,7,2,2,31,16,5,1,1,2,33,14,6,2
W,SRB,R,LAT,U,183,28,23,170,26,113,6,3,1,3,27,15,4,1,0,2,26,7,7,4
W,USA,L,ESP,R,180,30,51,166,24,86,7,6,3,0,35,19,5,3,1,1,43,15,10,3
W,CHN,R,FRA,R,178,27,133,173,26,33,6,3,0,0,33,15,5,4,0,3,29,8,6,6
W,USA,R,RUS,R,175,34,1,170,19,69,6,1,3,0,15,12,3,0,0,3,22,6,3,5
W,RUS,R,KAZ,R,183,21,58,163,21,76,6,3,2,1,31,13,5,2,1,0,29,11,3,4
W,SUI,R,UKR,R,175,19,13,175,29,92,4,6,0,1,26,13,4,2,0,1,27,11,4,3
W,RUS,R,USA,R,188,29,5,157,22,103,6,1,5,2,25,12,6,1,0,1,29,8,6,5
W,POL,R,PUR,R,170,27,4,170,22,52,6,4,1,1,28,14,3,2,1,1,24,8,3,4
W,GER,R,ITA,R,175,22,82,163,33,15,0,6,1,2,32,10,7,6,1,0,29,11,4,4
W,ESP,R,RUS,R,162,27,11,175,20,109,6,4,1,1,18,10,2,2,1,2,24,8,4,3
